Model,Val PR-AUC,Val ROC-AUC
XGBoost,0.8616288160250947,0.9808981183276674
LightGBM,0.8587674162571153,0.9823052722609888
Logistic Regression,0.760304908196462,0.979476054153993
Random Forest,0.6881076668527036,0.9690510004771278
